Date,Organization Name,Amount,Cause Area,org_cause
2018-07-01,One for the World ,153750.0,Global Health,One for the World |Global Health
2018-07-01,Nuclear Threat Initiative,3556773.0,Longtermism,Nuclear Threat Initiative|Longtermism
2018-07-01,Oxford University ,429770.0,Longtermism,Oxford University |Longtermism
2018-06-01,Johns Hopkins Center for Health Security,169600.0,Longtermism,Johns Hopkins Center for Health Security|Longtermism
2018-06-01,GiveWell,751179.0,Meta,GiveWell|Meta
2018-06-01,Commonwealth Veterinary Association ,31355.0,Animal Welfare,Commonwealth Veterinary Association |Animal Welfare
2018-06-01,Animal Equality ,2772430.0,Animal Welfare,Animal Equality |Animal Welfare
2018-06-01,Evidence Action ,320000.0,Global Health,Evidence Action |Global Health
2018-06-01,Future of Life Institute ,250000.0,Longtermism,Future of Life Institute |Longtermism
2018-06-01,Compassion in World Farming,10720.0,Animal Welfare,Compassion in World Farming|Animal Welfare
2018-06-01,Machine Intelligence Research Institute,150000.0,Longtermism,Machine Intelligence Research Institute|Longtermism
2018-06-01,Centre for Effective Altruism,2688000.0,Meta,Centre for Effective Altruism|Meta
2018-06-01,AI Impacts,100000.0,Longtermism,AI Impacts|Longtermism
2018-06-01,Fortify Health,295217.0,Global Health,Fortify Health|Global Health
2018-05-01,Mercy For Animals,375000.0,Animal Welfare,Mercy For Animals|Animal Welfare
2018-05-01,Royal Society for the Prevention of Cruelty to Animals,231677.0,Animal Welfare,Royal Society for the Prevention of Cruelty to Animals|Animal Welfare
2018-05-01,Open Phil AI Fellowship,1135000.0,Longtermism,Open Phil AI Fellowship|Longtermism
2018-05-01,Ought,525000.0,Longtermism,Ought|Longtermism
2018-05-01,Nick Otis,10000.0,Global Health,Nick Otis|Global Health
